#flow size in KB,cdf value
102.541684,0.029938517
196.849089,0.037077838
335.569895,0.075998127
449.768457,0.139485122
727.526141,0.181767962
1323.532,0.209923064
2408.25349,0.24793998
4382.177441,0.288365889
7554.471515,0.344575719
12332.9796,0.395310108
19070.51922,0.450295367
27922.23693,0.492989385
41648.03304,0.558361273
53722.80027,0.607575243
81427.08657,0.682730226
106223.3706,0.728257993
147349.8865,0.788622394
209995.8882,0.840425711
315963.8922,0.887527541
559674.3434,0.941504034
101832.7611,0.977638924
1661278.103,0.991157245